country_code,country_name,indicator_name,indicator_value,confidence_score,evidence_sources,last_updated,expert_validated,validation_notes
ZAF,South Africa,national_ai_strategy,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T20:32:03.691602,False,Auto-validated based on 4 evidence sources
ZAF,South Africa,data_protection_regulation,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T20:37:27.849055,False,Auto-validated based on 4 evidence sources
ZAF,South Africa,ai_ethics_guidelines,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T20:42:51.831796,False,Auto-validated based on 4 evidence sources
ZAF,South Africa,health_data_governance,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T20:48:47.839839,False,Auto-validated based on 4 evidence sources
ZAF,South Africa,digital_health_strategy,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T20:55:13.172310,False,Auto-validated based on 4 evidence sources
KEN,Kenya,national_ai_strategy,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T20:55:36.841282,False,Auto-validated based on 4 evidence sources
KEN,Kenya,data_protection_regulation,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T20:56:00.153904,False,Auto-validated based on 4 evidence sources
KEN,Kenya,ai_ethics_guidelines,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T20:56:23.392033,False,Auto-validated based on 4 evidence sources
KEN,Kenya,health_data_governance,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T20:56:47.286104,False,Auto-validated based on 4 evidence sources
KEN,Kenya,digital_health_strategy,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T20:57:10.577488,False,Auto-validated based on 4 evidence sources
NGA,Nigeria,national_ai_strategy,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023']",2025-08-13T20:57:31.152480,False,Auto-validated based on 3 evidence sources
